Date__c,From_Currency__c,To_Currency__c,Name,Rate__c
2022-04-12,EUR,NZD,EUR-NZD,1.58774
2022-04-12,EUR,PLN,EUR-PLN,4.630144
2022-04-12,EUR,SEK,EUR-SEK,10.265781
2022-04-12,EUR,USD,EUR-USD,1.087659
2022-04-12,USD,AED,USD-AED,3.672703
2022-04-12,USD,AUD,USD-AUD,1.340267
2022-04-12,USD,CAD,USD-CAD,1.256992
2022-04-12,USD,CHF,USD-CHF,0.933873
2022-04-12,USD,CZK,USD-CZK,22.450721
2022-04-12,USD,DKK,USD-DKK,6.834709
2022-04-12,USD,EUR,USD-EUR,0.919017
2022-04-12,USD,GBP,USD-GBP,0.766985
2022-04-12,USD,NOK,USD-NOK,8.696635
2022-04-12,USD,NZD,USD-NZD,1.459777
2022-04-12,USD,PLN,USD-PLN,4.255591
2022-04-12,USD,SEK,USD-SEK,9.440107
2022-04-12,PLN,AED,PLN-AED,0.861555
2022-04-12,PLN,AUD,PLN-AUD,0.314404
2022-04-12,PLN,CAD,PLN-CAD,0.294869
2022-04-12,PLN,CHF,PLN-CHF,0.219071
2022-04-12,PLN,CZK,PLN-CZK,5.266484
2022-04-12,PLN,DKK,PLN-DKK,1.603304
2022-04-12,PLN,EUR,PLN-EUR,0.215631
2022-04-12,PLN,GBP,PLN-GBP,0.179922
2022-04-12,PLN,NOK,PLN-NOK,2.040075
2022-04-12,PLN,NZD,PLN-NZD,0.342439
2022-04-12,PLN,SEK,PLN-SEK,2.214496
2022-04-12,PLN,USD,PLN-USD,0.234584
2022-04-12,CHF,AED,CHF-AED,3.931297
2022-04-12,CHF,AUD,CHF-AUD,1.434632
2022-04-12,CHF,CAD,CHF-CAD,1.345495
2022-04-12,CHF,CZK,CHF-CZK,24.031529
2022-04-12,CHF,DKK,CHF-DKK,7.315931
2022-04-12,CHF,EUR,CHF-EUR,0.983939
2022-04-12,CHF,GBP,CHF-GBP,0.821183
2022-04-12,CHF,NOK,CHF-NOK,9.308907
2022-04-12,CHF,NZD,CHF-NZD,1.562559
2022-04-12,CHF,PLN,CHF-PLN,4.555207
2022-04-12,CHF,SEK,CHF-SEK,10.104787
2022-04-12,CHF,USD,CHF-USD,1.070409
2022-04-12,CZK,AED,CZK-AED,0.163472
2022-04-12,CZK,AUD,CZK-AUD,0.059655
2022-04-12,CZK,CAD,CZK-CAD,0.055949
2022-04-12,CZK,CHF,CZK-CHF,0.041567
2022-04-12,CZK,DKK,CZK-DKK,0.304211
2022-04-12,CZK,EUR,CZK-EUR,0.04089
2022-04-12,CZK,GBP,CZK-GBP,0.034138
2022-04-12,CZK,NOK,CZK-NOK,0.387084
2022-04-12,CZK,NZD,CZK-NZD,0.064975
2022-04-12,CZK,PLN,CZK-PLN,0.189415
2022-04-12,CZK,SEK,CZK-SEK,0.420178
2022-04-12,CZK,USD,CZK-USD,0.04451
